ds,y
2024-08-01,101.9
2024-08-02,121.3
2024-08-03,128.0
2024-08-04,119.0
2024-08-05,87.4
2024-08-06,96.1
2024-08-07,99.6
2024-08-08,113.2
2024-08-09,113.3
2024-08-10,128.7
2024-08-11,115.1
2024-08-12,87.1
2024-08-13,106.6
2024-08-14,100.6
2024-08-15,93.8
2024-08-16,121.1
2024-08-17,129.6
2024-08-18,121.2
2024-08-19,92.0
2024-08-20,101.0
2024-08-21,96.9
2024-08-22,113.7
2024-08-23,129.7
2024-08-24,113.8
2024-08-25,127.1
2024-08-26,87.0
2024-08-27,106.1
2024-08-28,96.2
2024-08-29,100.2
2024-08-30,128.9
2024-08-31,131.0
2024-09-01,118.6
2024-09-02,88.7
2024-09-03,97.8
2024-09-04,96.6
2024-09-05,111.0
2024-09-06,127.7
2024-09-07,117.6
2024-09-08,130.5
2024-09-09,102.6
2024-09-10,105.9
2024-09-11,90.4
2024-09-12,96.4
2024-09-13,131.7
2024-09-14,119.6
2024-09-15,126.3
2024-09-16,93.0
2024-09-17,92.6
2024-09-18,97.5
2024-09-19,78.1
2024-09-20,116.2
2024-09-21,120.5
2024-09-22,114.2
2024-09-23,96.2
2024-09-24,87.4
2024-09-25,93.0
2024-09-26,96.1
2024-09-27,128.6
2024-09-28,111.0
2024-09-29,126.2
2024-09-30,83.8
2024-10-01,87.5
2024-10-02,95.7
2024-10-03,93.7
2024-10-04,113.5
2024-10-05,117.1
2024-10-06,113.9
2024-10-07,81.4
2024-10-08,94.3
2024-10-09,99.3
2024-10-10,81.9
2024-10-11,126.7
2024-10-12,101.7
2024-10-13,112.0
2024-10-14,80.9
2024-10-15,88.6
2024-10-16,82.7
2024-10-17,84.6
2024-10-18,107.4
2024-10-19,106.3
2024-10-20,114.4
2024-10-21,76.0
2024-10-22,79.2
2024-10-23,88.2
2024-10-24,84.1
2024-10-25,111.6
2024-10-26,110.0
2024-10-27,100.7
2024-10-28,66.8
2024-10-29,84.2
2024-10-30,82.8
2024-10-31,78.5
2024-11-01,103.9
2024-11-02,110.3
2024-11-03,98.6
2024-11-04,70.0
2024-11-05,75.0
2024-11-06,74.4
2024-11-07,81.8
2024-11-08,104.7
2024-11-09,104.2
2024-11-10,106.7
2024-11-11,63.5
2024-11-12,77.1
2024-11-13,70.7
2024-11-14,74.1
2024-11-15,95.9
2024-11-16,96.9
2024-11-17,99.5
2024-11-18,55.7
2024-11-19,82.7
2024-11-20,63.8
2024-11-21,62.2
2024-11-22,101.1
2024-11-23,98.6
2024-11-24,97.3
2024-11-25,62.0
2024-11-26,67.9
2024-11-27,62.3
2024-11-28,67.9
2024-11-29,88.2
2024-11-30,97.8
2024-12-01,90.9
2024-12-02,51.6
2024-12-03,64.5
2024-12-04,68.7
2024-12-05,62.7
2024-12-06,86.0
2024-12-07,92.3
2024-12-08,92.2
2024-12-09,52.6
2024-12-10,62.8
2024-12-11,66.9
2024-12-12,56.8
2024-12-13,82.0
2024-12-14,86.2
2024-12-15,89.2
2024-12-16,57.4
2024-12-17,74.4
2024-12-18,70.8
2024-12-19,64.8
2024-12-20,90.7
2024-12-21,84.9
2024-12-22,90.9
2024-12-23,54.5
2024-12-24,68.3
2024-12-25,61.6
2024-12-26,69.8
2024-12-27,101.1
2024-12-28,91.5
2024-12-29,94.8
2024-12-30,61.8
2024-12-31,65.5
2025-01-01,69.3
2025-01-02,68.3
2025-01-03,94.1
2025-01-04,89.1
2025-01-05,94.2
2025-01-06,62.4
2025-01-07,78.5
2025-01-08,75.9
2025-01-09,83.4
2025-01-10,91.3
2025-01-11,101.5
2025-01-12,97.8
2025-01-13,75.2
2025-01-14,67.7
2025-01-15,67.9
2025-01-16,69.8
2025-01-17,86.1
2025-01-18,96.2
2025-01-19,95.3
2025-01-20,66.2
2025-01-21,77.8
2025-01-22,87.5
2025-01-23,82.5
2025-01-24,98.8
2025-01-25,97.4
2025-01-26,106.3
2025-01-27,60.9
2025-01-28,90.4
2025-01-29,87.0
2025-01-30,77.7
2025-01-31,95.7
2025-02-01,114.7
2025-02-02,106.4
2025-02-03,80.1
2025-02-04,73.7
2025-02-05,80.2
2025-02-06,84.4
2025-02-07,110.2
2025-02-08,107.7
2025-02-09,114.7
2025-02-10,70.1
2025-02-11,86.2
2025-02-12,88.4
2025-02-13,91.3
2025-02-14,118.0
2025-02-15,107.5
2025-02-16,105.6
2025-02-17,88.0
2025-02-18,92.9
2025-02-19,86.9
2025-02-20,101.2
2025-02-21,118.1
2025-02-22,125.0
2025-02-23,118.8
2025-02-24,96.3
2025-02-25,104.9
2025-02-26,93.4
2025-02-27,101.2
2025-02-28,124.7
2025-03-01,129.5
2025-03-02,115.9
2025-03-03,91.3
2025-03-04,103.9
2025-03-05,87.4
2025-03-06,91.3
2025-03-07,111.6
2025-03-08,122.6
2025-03-09,128.9
2025-03-10,99.0
2025-03-11,100.7
2025-03-12,110.4
2025-03-13,92.7
2025-03-14,116.1
2025-03-15,126.3
2025-03-16,129.2
2025-03-17,92.0
2025-03-18,90.1
2025-03-19,102.2
2025-03-20,95.2
2025-03-21,132.3
2025-03-22,130.7
2025-03-23,123.0
2025-03-24,90.8
2025-03-25,97.7
2025-03-26,103.9
2025-03-27,110.2
2025-03-28,123.7
2025-03-29,132.8
2025-03-30,126.7
2025-03-31,90.3
2025-04-01,104.5
2025-04-02,99.0
2025-04-03,102.0
2025-04-04,123.2
2025-04-05,142.3
2025-04-06,130.8
2025-04-07,91.4
2025-04-08,106.9
2025-04-09,105.0
2025-04-10,104.4
2025-04-11,134.4
2025-04-12,135.3
2025-04-13,127.5
2025-04-14,92.2
2025-04-15,104.0
2025-04-16,91.8
2025-04-17,96.5
2025-04-18,138.7
2025-04-19,140.4
2025-04-20,128.9
2025-04-21,98.8
2025-04-22,107.2
2025-04-23,123.7
2025-04-24,111.8
2025-04-25,129.3
2025-04-26,124.2
2025-04-27,120.2
2025-04-28,96.0
2025-04-29,100.1
2025-04-30,96.0
2025-05-01,100.5
2025-05-02,122.8
2025-05-03,139.3
2025-05-04,134.3
2025-05-05,93.9
2025-05-06,112.7
2025-05-07,104.1
2025-05-08,98.4
2025-05-09,137.5
2025-05-10,131.5
2025-05-11,121.9
2025-05-12,91.9
2025-05-13,97.6
2025-05-14,94.4
2025-05-15,108.2
2025-05-16,138.9
2025-05-17,119.0
2025-05-18,130.6
2025-05-19,88.2
2025-05-20,99.1
2025-05-21,98.3
2025-05-22,96.6
2025-05-23,127.0
2025-05-24,121.6
2025-05-25,128.1
2025-05-26,91.1
2025-05-27,99.9
2025-05-28,95.8
2025-05-29,97.7
2025-05-30,130.6
2025-05-31,129.0
2025-06-01,120.1
2025-06-02,91.5
2025-06-03,105.4
2025-06-04,90.8
2025-06-05,104.1
2025-06-06,121.8
2025-06-07,129.2
2025-06-08,121.2
2025-06-09,79.9
2025-06-10,91.0
2025-06-11,101.0
2025-06-12,102.3
2025-06-13,120.4
2025-06-14,129.7
2025-06-15,115.9
2025-06-16,90.5
2025-06-17,93.7
2025-06-18,97.1
2025-06-19,101.4
2025-06-20,121.0
2025-06-21,124.0
2025-06-22,132.4
2025-06-23,88.0
2025-06-24,106.6
2025-06-25,94.9
2025-06-26,105.0
2025-06-27,135.6
2025-06-28,112.2
2025-06-29,122.4
2025-06-30,95.8
2025-07-01,101.3
2025-07-02,104.9
2025-07-03,99.2
2025-07-04,128.5
2025-07-05,127.2
2025-07-06,135.3
2025-07-07,95.0
2025-07-08,105.7
2025-07-09,101.4
2025-07-10,101.2
2025-07-11,126.7
2025-07-12,131.8
2025-07-13,127.2
2025-07-14,96.6
2025-07-15,117.6
2025-07-16,110.6
2025-07-17,103.6
2025-07-18,138.0
2025-07-19,128.5
2025-07-20,119.0
2025-07-21,90.4
2025-07-22,95.4
2025-07-23,104.8
2025-07-24,107.2
2025-07-25,142.4
2025-07-26,134.5
2025-07-27,131.4
2025-07-28,102.9
2025-07-29,94.9
2025-07-30,109.8
2025-07-31,113.2
2025-08-01,124.9
2025-08-02,140.9
2025-08-03,136.2
2025-08-04,96.9
2025-08-05,113.4
2025-08-06,123.4
2025-08-07,111.0
2025-08-08,136.6
2025-08-09,132.5
2025-08-10,130.4
2025-08-11,105.6
2025-08-12,105.6
2025-08-13,111.3
2025-08-14,108.2
2025-08-15,139.0
2025-08-16,138.3
2025-08-17,142.6
2025-08-18,98.4
2025-08-19,109.9
2025-08-20,105.8
2025-08-21,109.1
2025-08-22,139.0
2025-08-23,141.4
2025-08-24,131.3
2025-08-25,107.1
2025-08-26,120.1
2025-08-27,114.4
2025-08-28,123.2
2025-08-29,132.3
2025-08-30,129.4
2025-08-31,126.2
2025-09-01,110.8
2025-09-02,115.7
2025-09-03,111.3
2025-09-04,113.3
2025-09-05,129.7
2025-09-06,151.1
2025-09-07,137.0
2025-09-08,101.8
2025-09-09,115.3
2025-09-10,113.7
2025-09-11,112.0
2025-09-12,130.7
2025-09-13,138.1
2025-09-14,146.4
2025-09-15,107.9
2025-09-16,119.2
2025-09-17,106.3
2025-09-18,103.2
2025-09-19,133.1
2025-09-20,133.9
2025-09-21,139.8
2025-09-22,87.8
2025-09-23,116.8
2025-09-24,106.4
2025-09-25,104.4
2025-09-26,125.6
2025-09-27,121.4
2025-09-28,135.9
2025-09-29,96.0
2025-09-30,97.4
2025-10-01,97.0
2025-10-02,102.3
2025-10-03,139.0
2025-10-04,127.0
2025-10-05,119.1
2025-10-06,91.2
2025-10-07,100.6
2025-10-08,85.6
2025-10-09,101.0
2025-10-10,124.4
2025-10-11,129.5
2025-10-12,135.9
2025-10-13,96.1
2025-10-14,97.3
2025-10-15,91.7
2025-10-16,113.3
2025-10-17,122.7
2025-10-18,121.9
2025-10-19,121.2
2025-10-20,87.0
2025-10-21,94.5
2025-10-22,91.4
2025-10-23,91.0
2025-10-24,118.6
2025-10-25,115.0
2025-10-26,113.5
2025-10-27,82.9
2025-10-28,90.2
2025-10-29,100.2
2025-10-30,74.8
2025-10-31,121.7
2025-11-01,122.1
2025-11-02,101.7
2025-11-03,76.6
2025-11-04,85.9
2025-11-05,79.2
2025-11-06,82.5
2025-11-07,105.0
2025-11-08,121.7
2025-11-09,116.4
2025-11-10,82.9
2025-11-11,89.2
2025-11-12,77.6
2025-11-13,80.8
2025-11-14,111.5
2025-11-15,100.8
2025-11-16,112.0
2025-11-17,70.9
2025-11-18,79.7
2025-11-19,85.8
2025-11-20,83.8
2025-11-21,103.7
2025-11-22,112.4
2025-11-23,98.7
2025-11-24,73.5
2025-11-25,83.1
2025-11-26,77.4
2025-11-27,80.9
2025-11-28,96.2
2025-11-29,109.0
2025-11-30,102.1
2025-12-01,64.8
2025-12-02,84.1
2025-12-03,73.3
2025-12-04,68.9
2025-12-05,92.9
2025-12-06,105.7
2025-12-07,94.3
2025-12-08,77.4
2025-12-09,64.2
2025-12-10,86.8
2025-12-11,77.8
2025-12-12,101.0
2025-12-13,98.2
2025-12-14,103.9
2025-12-15,66.2
2025-12-16,83.1
2025-12-17,77.2
2025-12-18,77.5
2025-12-19,99.4
2025-12-20,101.4
2025-12-21,103.6
2025-12-22,56.6
2025-12-23,68.9
2025-12-24,81.6
2025-12-25,78.4
2025-12-26,101.4
2025-12-27,102.8
2025-12-28,105.0
2025-12-29,64.9
2025-12-30,73.7
2025-12-31,79.8
