date,item,quantity_used
2024-05-15,Milk (litres),32.9
2024-05-16,Milk (litres),38.6
2024-05-17,Milk (litres),42.3
2024-05-18,Milk (litres),40.4
2024-05-19,Milk (litres),47.4
2024-05-20,Milk (litres),36.1
2024-05-21,Milk (litres),39.7
2024-05-22,Milk (litres),36.6
2024-05-23,Milk (litres),34.8
2024-05-24,Milk (litres),42.4
2024-05-25,Milk (litres),44.5
2024-05-26,Milk (litres),45.2
2024-05-27,Milk (litres),35.5
2024-05-28,Milk (litres),37.1
2024-05-29,Milk (litres),33.4
2024-05-30,Milk (litres),38.0
2024-05-31,Milk (litres),40.5
2024-06-01,Milk (litres),45.3
2024-06-02,Milk (litres),48.0
2024-06-03,Milk (litres),41.1
2024-06-04,Milk (litres),43.0
2024-06-05,Milk (litres),33.2
2024-06-06,Milk (litres),40.1
2024-06-07,Milk (litres),49.4
2024-06-08,Milk (litres),48.7
2024-06-09,Milk (litres),43.0
2024-06-10,Milk (litres),39.0
2024-06-11,Milk (litres),43.3
2024-06-12,Milk (litres),33.3
2024-06-13,Milk (litres),39.2
2024-06-14,Milk (litres),49.1
2024-06-15,Milk (litres),43.7
2024-06-16,Milk (litres),47.5
2024-06-17,Milk (litres),34.5
2024-06-18,Milk (litres),35.3
2024-06-19,Milk (litres),35.3
2024-06-20,Milk (litres),38.3
2024-06-21,Milk (litres),45.5
2024-06-22,Milk (litres),48.6
2024-06-23,Milk (litres),42.9
2024-06-24,Milk (litres),37.4
2024-06-25,Milk (litres),40.6
2024-06-26,Milk (litres),39.5
2024-06-27,Milk (litres),33.8
2024-06-28,Milk (litres),47.8
2024-06-29,Milk (litres),44.4
2024-06-30,Milk (litres),47.0
2024-07-01,Milk (litres),38.7
2024-07-02,Milk (litres),41.5
2024-07-03,Milk (litres),38.2
2024-07-04,Milk (litres),32.3
2024-07-05,Milk (litres),41.8
2024-07-06,Milk (litres),48.1
2024-07-07,Milk (litres),45.2
2024-07-08,Milk (litres),41.4
2024-07-09,Milk (litres),38.8
2024-07-10,Milk (litres),35.8
2024-07-11,Milk (litres),41.3
2024-07-12,Milk (litres),43.6
2024-07-13,Milk (litres),39.9
2024-07-14,Milk (litres),52.3
2024-07-15,Milk (litres),32.4
2024-07-16,Milk (litres),40.1
2024-07-17,Milk (litres),41.0
2024-07-18,Milk (litres),38.7
2024-07-19,Milk (litres),41.2
2024-07-20,Milk (litres),49.4
2024-07-21,Milk (litres),42.0
2024-07-22,Milk (litres),34.4
2024-07-23,Milk (litres),37.4
2024-07-24,Milk (litres),40.8
2024-07-25,Milk (litres),39.4
2024-07-26,Milk (litres),49.0
2024-07-27,Milk (litres),45.3
2024-07-28,Milk (litres),46.1
2024-07-29,Milk (litres),35.3
2024-07-30,Milk (litres),37.8
2024-07-31,Milk (litres),40.6
2024-08-01,Milk (litres),37.9
2024-08-02,Milk (litres),48.3
2024-08-03,Milk (litres),45.2
2024-08-04,Milk (litres),45.2
2024-08-05,Milk (litres),39.2
2024-08-06,Milk (litres),38.5
2024-08-07,Milk (litres),40.9
2024-08-08,Milk (litres),39.7
2024-08-09,Milk (litres),52.5
2024-08-10,Milk (litres),46.7
2024-08-11,Milk (litres),46.7
2024-08-12,Milk (litres),36.3
2024-08-13,Milk (litres),39.6
2024-08-14,Milk (litres),41.6
2024-08-15,Milk (litres),37.4
2024-08-16,Milk (litres),47.5
2024-08-17,Milk (litres),49.9
2024-08-18,Milk (litres),47.4
2024-08-19,Milk (litres),38.3
2024-08-20,Milk (litres),42.9
2024-08-21,Milk (litres),40.3
2024-08-22,Milk (litres),41.3
2024-08-23,Milk (litres),51.7
2024-08-24,Milk (litres),51.6
2024-08-25,Milk (litres),47.2
2024-08-26,Milk (litres),38.8
2024-08-27,Milk (litres),41.3
2024-08-28,Milk (litres),40.1
2024-08-29,Milk (litres),34.9
2024-08-30,Milk (litres),52.5
2024-08-31,Milk (litres),48.8
2024-09-01,Milk (litres),51.0
2024-09-02,Milk (litres),37.3
2024-09-03,Milk (litres),44.8
2024-09-04,Milk (litres),39.2
2024-09-05,Milk (litres),40.7
2024-09-06,Milk (litres),44.9
2024-09-07,Milk (litres),48.7
2024-09-08,Milk (litres),48.6
2024-09-09,Milk (litres),40.8
2024-09-10,Milk (litres),42.8
2024-09-11,Milk (litres),41.7
2024-09-12,Milk (litres),44.5
2024-09-13,Milk (litres),48.3
2024-09-14,Milk (litres),46.8
2024-09-15,Milk (litres),49.8
2024-09-16,Milk (litres),43.8
2024-09-17,Milk (litres),45.7
2024-09-18,Milk (litres),44.5
2024-09-19,Milk (litres),36.8
2024-09-20,Milk (litres),51.3
2024-09-21,Milk (litres),54.7
2024-09-22,Milk (litres),50.6
2024-09-23,Milk (litres),40.9
2024-09-24,Milk (litres),43.5
2024-09-25,Milk (litres),41.1
2024-09-26,Milk (litres),44.6
2024-09-27,Milk (litres),50.7
2024-09-28,Milk (litres),55.0
2024-09-29,Milk (litres),52.4
2024-09-30,Milk (litres),40.8
2024-10-01,Milk (litres),44.9
2024-10-02,Milk (litres),46.0
2024-10-03,Milk (litres),41.5
2024-10-04,Milk (litres),50.0
2024-10-05,Milk (litres),44.5
2024-10-06,Milk (litres),54.2
2024-10-07,Milk (litres),41.8
2024-10-08,Milk (litres),37.3
2024-10-09,Milk (litres),38.4
2024-10-10,Milk (litres),43.1
2024-10-11,Milk (litres),54.1
2024-10-12,Milk (litres),51.7
2024-10-13,Milk (litres),53.4
2024-10-14,Milk (litres),40.8
2024-10-15,Milk (litres),40.1
2024-10-16,Milk (litres),46.9
2024-10-17,Milk (litres),45.8
2024-10-18,Milk (litres),52.3
2024-10-19,Milk (litres),56.3
2024-10-20,Milk (litres),49.7
2024-10-21,Milk (litres),43.3
2024-10-22,Milk (litres),47.8
2024-10-23,Milk (litres),50.3
2024-10-24,Milk (litres),44.8
2024-10-25,Milk (litres),57.9
2024-10-26,Milk (litres),51.2
2024-10-27,Milk (litres),54.0
2024-10-28,Milk (litres),44.6
2024-10-29,Milk (litres),40.4
2024-10-30,Milk (litres),46.0
2024-10-31,Milk (litres),48.1
2024-11-01,Milk (litres),52.9
2024-11-02,Milk (litres),53.2
2024-11-03,Milk (litres),57.7
2024-11-04,Milk (litres),41.8
2024-11-05,Milk (litres),41.1
2024-11-06,Milk (litres),43.7
2024-11-07,Milk (litres),42.2
2024-11-08,Milk (litres),57.9
2024-11-09,Milk (litres),54.8
2024-11-10,Milk (litres),51.3
2024-11-11,Milk (litres),44.2
2024-11-12,Milk (litres),54.6
2024-11-13,Milk (litres),44.3
2024-11-14,Milk (litres),43.9
2024-11-15,Milk (litres),55.1
2024-11-16,Milk (litres),56.2
2024-11-17,Milk (litres),55.0
2024-11-18,Milk (litres),43.7
2024-11-19,Milk (litres),43.0
2024-11-20,Milk (litres),48.3
2024-11-21,Milk (litres),46.4
2024-11-22,Milk (litres),49.7
2024-11-23,Milk (litres),58.1
2024-11-24,Milk (litres),57.0
2024-11-25,Milk (litres),46.0
2024-11-26,Milk (litres),46.0
2024-11-27,Milk (litres),47.5
2024-11-28,Milk (litres),44.8
2024-11-29,Milk (litres),50.9
2024-11-30,Milk (litres),55.9
2024-12-01,Milk (litres),50.7
2024-12-02,Milk (litres),48.2
2024-12-03,Milk (litres),42.7
2024-12-04,Milk (litres),46.8
2024-12-05,Milk (litres),46.7
2024-12-06,Milk (litres),60.5
2024-12-07,Milk (litres),52.0
2024-12-08,Milk (litres),51.0
2024-12-09,Milk (litres),45.3
2024-12-10,Milk (litres),43.9
2024-12-11,Milk (litres),45.5
2024-12-12,Milk (litres),48.6
2024-12-13,Milk (litres),57.7
2024-12-14,Milk (litres),60.4
2024-12-15,Milk (litres),53.2
2024-12-16,Milk (litres),55.4
2024-12-17,Milk (litres),53.4
2024-12-18,Milk (litres),46.9
2024-12-19,Milk (litres),40.6
2024-12-20,Milk (litres),55.3
2024-12-21,Milk (litres),55.8
2024-12-22,Milk (litres),48.7
2024-12-23,Milk (litres),47.8
2024-12-24,Milk (litres),47.0
2024-12-25,Milk (litres),45.2
2024-12-26,Milk (litres),49.5
2024-12-27,Milk (litres),58.6
2024-12-28,Milk (litres),54.2
2024-12-29,Milk (litres),56.3
2024-12-30,Milk (litres),45.7
2024-12-31,Milk (litres),45.3
2025-01-01,Milk (litres),47.9
2025-01-02,Milk (litres),49.2
2025-01-03,Milk (litres),54.0
2025-01-04,Milk (litres),49.0
2025-01-05,Milk (litres),57.4
2025-01-06,Milk (litres),42.9
2025-01-07,Milk (litres),48.0
2025-01-08,Milk (litres),53.0
2025-01-09,Milk (litres),47.6
2025-01-10,Milk (litres),52.1
2025-01-11,Milk (litres),51.2
2025-01-12,Milk (litres),59.1
2025-01-13,Milk (litres),47.6
2025-01-14,Milk (litres),49.2
2025-01-15,Milk (litres),50.4
2025-01-16,Milk (litres),47.4
2025-01-17,Milk (litres),54.6
2025-01-18,Milk (litres),52.7
2025-01-19,Milk (litres),46.3
2025-01-20,Milk (litres),43.0
2025-01-21,Milk (litres),47.3
2025-01-22,Milk (litres),47.0
2025-01-23,Milk (litres),48.7
2025-01-24,Milk (litres),55.1
2025-01-25,Milk (litres),55.9
2025-01-26,Milk (litres),57.8
2025-01-27,Milk (litres),44.7
2025-01-28,Milk (litres),46.5
2025-01-29,Milk (litres),42.5
2025-01-30,Milk (litres),50.2
2025-01-31,Milk (litres),55.4
2025-02-01,Milk (litres),56.7
2025-02-02,Milk (litres),59.8
2025-02-03,Milk (litres),50.4
2025-02-04,Milk (litres),47.0
2025-02-05,Milk (litres),49.5
2025-02-06,Milk (litres),42.8
2025-02-07,Milk (litres),56.3
2025-02-08,Milk (litres),55.4
2025-02-09,Milk (litres),50.1
2025-02-10,Milk (litres),50.9
2025-02-11,Milk (litres),44.8
2025-02-12,Milk (litres),48.9
2025-02-13,Milk (litres),45.6
2025-02-14,Milk (litres),57.8
2025-02-15,Milk (litres),58.7
2025-02-16,Milk (litres),52.2
2025-02-17,Milk (litres),42.1
2025-02-18,Milk (litres),46.2
2025-02-19,Milk (litres),49.1
2025-02-20,Milk (litres),45.4
2025-02-21,Milk (litres),52.6
2025-02-22,Milk (litres),55.9
2025-02-23,Milk (litres),46.1
2025-02-24,Milk (litres),44.3
2025-02-25,Milk (litres),42.1
2025-02-26,Milk (litres),47.1
2025-02-27,Milk (litres),44.0
2025-02-28,Milk (litres),50.8
2025-03-01,Milk (litres),53.0
2025-03-02,Milk (litres),49.6
2025-03-03,Milk (litres),45.9
2025-03-04,Milk (litres),43.9
2025-03-05,Milk (litres),44.7
2025-03-06,Milk (litres),43.7
2025-03-07,Milk (litres),56.5
2025-03-08,Milk (litres),53.4
2025-03-09,Milk (litres),55.2
2025-03-10,Milk (litres),47.0
2025-03-11,Milk (litres),43.1
2025-03-12,Milk (litres),47.2
2025-03-13,Milk (litres),46.5
2025-03-14,Milk (litres),54.3
2025-03-15,Milk (litres),52.1
2025-03-16,Milk (litres),52.0
2025-03-17,Milk (litres),47.6
2025-03-18,Milk (litres),51.7
2025-03-19,Milk (litres),42.6
2025-03-20,Milk (litres),46.6
2025-03-21,Milk (litres),51.9
2025-03-22,Milk (litres),55.3
2025-03-23,Milk (litres),54.2
2025-03-24,Milk (litres),48.0
2025-03-25,Milk (litres),36.3
2025-03-26,Milk (litres),42.9
2025-03-27,Milk (litres),41.6
2025-03-28,Milk (litres),52.2
2025-03-29,Milk (litres),50.3
2025-03-30,Milk (litres),50.5
2025-03-31,Milk (litres),46.4
2025-04-01,Milk (litres),50.0
2025-04-02,Milk (litres),35.8
2025-04-03,Milk (litres),43.3
2025-04-04,Milk (litres),53.1
2025-04-05,Milk (litres),52.1
2025-04-06,Milk (litres),51.0
2025-04-07,Milk (litres),39.9
2025-04-08,Milk (litres),41.1
2025-04-09,Milk (litres),46.0
2025-04-10,Milk (litres),47.0
2025-04-11,Milk (litres),52.0
2025-04-12,Milk (litres),49.2
2025-04-13,Milk (litres),51.9
2025-04-14,Milk (litres),42.8
2025-04-15,Milk (litres),45.1
2025-04-16,Milk (litres),43.8
2025-04-17,Milk (litres),41.5
2025-04-18,Milk (litres),51.9
2025-04-19,Milk (litres),47.8
2025-04-20,Milk (litres),53.7
2025-04-21,Milk (litres),46.7
2025-04-22,Milk (litres),39.6
2025-04-23,Milk (litres),44.3
2025-04-24,Milk (litres),40.1
2025-04-25,Milk (litres),54.2
2025-04-26,Milk (litres),53.6
2025-04-27,Milk (litres),50.2
2025-04-28,Milk (litres),45.8
2025-04-29,Milk (litres),41.5
2025-04-30,Milk (litres),40.8
2025-05-01,Milk (litres),41.0
2025-05-02,Milk (litres),50.2
2025-05-03,Milk (litres),49.6
2025-05-04,Milk (litres),51.0
2025-05-05,Milk (litres),40.6
2025-05-06,Milk (litres),44.7
2025-05-07,Milk (litres),45.5
2025-05-08,Milk (litres),40.9
2025-05-09,Milk (litres),46.0
2025-05-10,Milk (litres),52.4
2025-05-11,Milk (litres),53.7
2025-05-12,Milk (litres),41.7
2025-05-13,Milk (litres),38.3
2025-05-14,Milk (litres),42.9
2025-05-15,Milk (litres),46.7
2025-05-16,Milk (litres),44.4
2025-05-17,Milk (litres),51.4
2025-05-18,Milk (litres),49.0
2025-05-19,Milk (litres),39.4
2025-05-20,Milk (litres),43.4
2025-05-21,Milk (litres),38.0
2025-05-22,Milk (litres),42.7
2025-05-23,Milk (litres),53.8
2025-05-24,Milk (litres),50.3
2025-05-25,Milk (litres),47.1
2025-05-26,Milk (litres),36.4
2025-05-27,Milk (litres),37.9
2025-05-28,Milk (litres),36.2
2025-05-29,Milk (litres),46.5
2025-05-30,Milk (litres),48.9
2025-05-31,Milk (litres),46.5
2025-06-01,Milk (litres),45.7
2025-06-02,Milk (litres),38.4
2025-06-03,Milk (litres),40.5
2025-06-04,Milk (litres),37.7
2025-06-05,Milk (litres),46.5
2025-06-06,Milk (litres),47.3
2025-06-07,Milk (litres),47.1
2025-06-08,Milk (litres),50.4
2025-06-09,Milk (litres),45.8
2025-06-10,Milk (litres),45.4
2025-06-11,Milk (litres),40.0
2025-06-12,Milk (litres),42.2
2025-06-13,Milk (litres),49.9
2025-06-14,Milk (litres),51.0
2025-06-15,Milk (litres),50.2
2025-06-16,Milk (litres),38.6
2025-06-17,Milk (litres),37.6
2025-06-18,Milk (litres),41.9
2025-06-19,Milk (litres),37.8
2025-06-20,Milk (litres),53.5
2025-06-21,Milk (litres),49.5
2025-06-22,Milk (litres),46.3
2025-06-23,Milk (litres),40.4
2025-06-24,Milk (litres),39.9
2025-06-25,Milk (litres),41.0
2025-06-26,Milk (litres),44.3
2025-06-27,Milk (litres),45.1
2025-06-28,Milk (litres),43.8
2025-06-29,Milk (litres),50.5
2025-06-30,Milk (litres),40.9
2025-07-01,Milk (litres),42.0
2025-07-02,Milk (litres),42.8
2025-07-03,Milk (litres),41.0
2025-07-04,Milk (litres),51.9
2025-07-05,Milk (litres),46.9
2025-07-06,Milk (litres),49.8
2025-07-07,Milk (litres),39.1
2025-07-08,Milk (litres),38.2
2025-07-09,Milk (litres),43.5
2025-07-10,Milk (litres),43.4
2025-07-11,Milk (litres),43.8
2025-07-12,Milk (litres),46.3
2025-07-13,Milk (litres),50.6
2025-07-14,Milk (litres),45.0
2025-07-15,Milk (litres),39.8
2025-07-16,Milk (litres),41.3
2025-07-17,Milk (litres),37.6
2025-07-18,Milk (litres),57.4
2025-07-19,Milk (litres),51.3
2025-07-20,Milk (litres),52.6
2025-07-21,Milk (litres),44.0
2025-07-22,Milk (litres),44.8
2025-07-23,Milk (litres),43.9
2025-07-24,Milk (litres),41.1
2025-07-25,Milk (litres),52.4
2025-07-26,Milk (litres),50.4
2025-07-27,Milk (litres),54.1
2025-07-28,Milk (litres),40.1
2025-07-29,Milk (litres),40.7
2025-07-30,Milk (litres),44.3
2025-07-31,Milk (litres),46.2
2025-08-01,Milk (litres),50.9
2025-08-02,Milk (litres),48.4
2025-08-03,Milk (litres),50.2
2025-08-04,Milk (litres),41.1
2025-08-05,Milk (litres),48.3
2025-08-06,Milk (litres),45.4
2025-08-07,Milk (litres),46.6
2025-08-08,Milk (litres),51.7
2025-08-09,Milk (litres),49.2
2025-08-10,Milk (litres),54.4
2025-08-11,Milk (litres),47.9
2025-08-12,Milk (litres),44.8
2025-08-13,Milk (litres),43.0
2025-08-14,Milk (litres),46.4
2025-08-15,Milk (litres),50.1
2025-08-16,Milk (litres),53.6
2025-08-17,Milk (litres),49.2
2025-08-18,Milk (litres),40.5
2025-08-19,Milk (litres),45.2
2025-08-20,Milk (litres),44.5
2025-08-21,Milk (litres),49.3
2025-08-22,Milk (litres),50.8
2025-08-23,Milk (litres),51.8
2025-08-24,Milk (litres),48.4
2025-08-25,Milk (litres),38.3
2025-08-26,Milk (litres),38.6
2025-08-27,Milk (litres),45.4
2025-08-28,Milk (litres),40.5
2025-08-29,Milk (litres),55.5
2025-08-30,Milk (litres),56.5
2025-08-31,Milk (litres),51.4
2025-09-01,Milk (litres),49.3
2025-09-02,Milk (litres),45.1
2025-09-03,Milk (litres),47.9
2025-09-04,Milk (litres),43.9
2025-09-05,Milk (litres),55.5
2025-09-06,Milk (litres),49.9
2025-09-07,Milk (litres),54.7
2025-09-08,Milk (litres),43.5
2025-09-09,Milk (litres),44.6
2025-09-10,Milk (litres),46.9
2025-09-11,Milk (litres),45.6
2025-09-12,Milk (litres),53.0
2025-09-13,Milk (litres),55.4
2025-09-14,Milk (litres),55.7
2025-09-15,Milk (litres),41.3
2025-09-16,Milk (litres),47.2
2025-09-17,Milk (litres),47.6
2025-09-18,Milk (litres),43.4
2025-09-19,Milk (litres),54.9
2025-09-20,Milk (litres),49.8
2025-09-21,Milk (litres),58.2
2025-09-22,Milk (litres),45.2
2025-09-23,Milk (litres),45.8
2025-09-24,Milk (litres),49.7
2025-09-25,Milk (litres),45.8
2025-09-26,Milk (litres),56.1
2025-09-27,Milk (litres),51.2
2025-09-28,Milk (litres),52.7
2025-09-29,Milk (litres),42.3
2025-09-30,Milk (litres),46.0
2025-10-01,Milk (litres),49.8
2025-10-02,Milk (litres),47.4
2025-10-03,Milk (litres),57.5
2025-10-04,Milk (litres),51.8
2025-10-05,Milk (litres),52.3
2025-10-06,Milk (litres),45.7
2025-10-07,Milk (litres),48.9
2025-10-08,Milk (litres),48.3
2025-10-09,Milk (litres),47.2
2025-10-10,Milk (litres),57.2
2025-10-11,Milk (litres),55.0
2025-10-12,Milk (litres),55.5
2025-10-13,Milk (litres),51.5
2025-10-14,Milk (litres),45.9
2025-10-15,Milk (litres),48.3
2025-10-16,Milk (litres),52.7
2025-10-17,Milk (litres),56.2
2025-10-18,Milk (litres),58.1
2025-10-19,Milk (litres),54.2
2025-10-20,Milk (litres),54.0
2025-10-21,Milk (litres),41.4
2025-10-22,Milk (litres),44.9
2025-10-23,Milk (litres),45.2
2025-10-24,Milk (litres),61.3
2025-10-25,Milk (litres),57.5
2025-10-26,Milk (litres),55.8
2025-10-27,Milk (litres),44.8
2025-10-28,Milk (litres),49.8
2025-10-29,Milk (litres),49.1
2025-10-30,Milk (litres),46.8
2025-10-31,Milk (litres),52.4
2025-11-01,Milk (litres),53.7
2025-11-02,Milk (litres),57.7
2025-11-03,Milk (litres),50.0
2025-11-04,Milk (litres),49.4
2025-11-05,Milk (litres),48.8
2025-11-06,Milk (litres),44.0
2025-11-07,Milk (litres),57.5
2025-11-08,Milk (litres),54.3
2025-11-09,Milk (litres),57.6
2025-11-10,Milk (litres),50.9
2025-11-11,Milk (litres),47.6
2025-11-12,Milk (litres),46.6
2025-11-13,Milk (litres),52.7
2025-11-14,Milk (litres),58.8
2025-11-15,Milk (litres),55.9
2025-11-16,Milk (litres),48.9
2025-11-17,Milk (litres),49.8
2025-11-18,Milk (litres),51.9
2025-11-19,Milk (litres),53.4
2025-11-20,Milk (litres),48.1
2025-11-21,Milk (litres),56.2
2025-11-22,Milk (litres),56.9
2025-11-23,Milk (litres),60.8
2025-11-24,Milk (litres),46.8
2025-11-25,Milk (litres),50.0
2025-11-26,Milk (litres),47.6
2025-11-27,Milk (litres),51.2
2025-11-28,Milk (litres),53.8
2025-11-29,Milk (litres),59.6
2025-11-30,Milk (litres),57.1
2025-12-01,Milk (litres),49.9
2025-12-02,Milk (litres),52.2
2025-12-03,Milk (litres),54.1
2025-12-04,Milk (litres),45.6
2025-12-05,Milk (litres),61.8
2025-12-06,Milk (litres),60.5
2025-12-07,Milk (litres),57.9
2025-12-08,Milk (litres),55.1
2025-12-09,Milk (litres),51.5
2025-12-10,Milk (litres),54.8
2025-12-11,Milk (litres),49.2
2025-12-12,Milk (litres),56.4
2025-12-13,Milk (litres),62.7
2025-12-14,Milk (litres),65.5
2025-12-15,Milk (litres),53.0
2025-12-16,Milk (litres),53.7
2025-12-17,Milk (litres),49.7
2025-12-18,Milk (litres),47.1
2025-12-19,Milk (litres),58.5
2025-12-20,Milk (litres),63.7
2025-12-21,Milk (litres),53.6
2025-12-22,Milk (litres),49.7
2025-12-23,Milk (litres),45.5
2025-12-24,Milk (litres),51.5
2025-12-25,Milk (litres),53.9
2025-12-26,Milk (litres),55.5
2025-12-27,Milk (litres),58.0
2025-12-28,Milk (litres),63.2
2025-12-29,Milk (litres),51.0
2025-12-30,Milk (litres),47.6
2025-12-31,Milk (litres),47.3
2024-01-01,Bread (units),55.9
2024-01-02,Bread (units),69.9
2024-01-03,Bread (units),62.3
2024-01-04,Bread (units),71.2
2024-01-05,Bread (units),95.3
2024-01-06,Bread (units),87.7
2024-01-07,Bread (units),88.3
2024-01-08,Bread (units),69.9
2024-01-09,Bread (units),66.7
2024-01-10,Bread (units),67.3
2024-01-11,Bread (units),57.7
2024-01-12,Bread (units),95.4
2024-01-13,Bread (units),86.6
2024-01-14,Bread (units),79.6
2024-01-15,Bread (units),62.8
2024-01-16,Bread (units),68.0
2024-01-17,Bread (units),76.3
2024-01-18,Bread (units),64.0
2024-01-19,Bread (units),84.2
2024-01-20,Bread (units),101.4
2024-01-21,Bread (units),91.6
2024-01-22,Bread (units),64.4
2024-01-23,Bread (units),60.3
2024-01-24,Bread (units),60.7
2024-01-25,Bread (units),73.0
2024-01-26,Bread (units),89.3
2024-01-27,Bread (units),87.9
2024-01-28,Bread (units),88.0
2024-01-29,Bread (units),73.3
2024-01-30,Bread (units),62.5
2024-01-31,Bread (units),68.5
2024-02-01,Bread (units),66.7
2024-02-02,Bread (units),91.5
2024-02-03,Bread (units),85.9
2024-02-04,Bread (units),93.5
2024-02-05,Bread (units),73.2
2024-02-06,Bread (units),64.9
2024-02-07,Bread (units),60.5
2024-02-08,Bread (units),58.6
2024-02-09,Bread (units),90.9
2024-02-10,Bread (units),88.5
2024-02-11,Bread (units),89.3
2024-02-12,Bread (units),64.8
2024-02-13,Bread (units),57.4
2024-02-14,Bread (units),68.6
2024-02-15,Bread (units),65.8
2024-02-16,Bread (units),89.2
2024-02-17,Bread (units),90.6
